id,hex_code,R,G,B,term,freq
1,#5D8165,93,129,101,アーモンドグリーン,0
2,#5D8165,93,129,101,almond green,0
3,#5D8165,93,129,101,山葵色,0
4,#1A4472,26,68,114,ミロリーブルー,0
5,#1A4472,26,68,114,ミロリブルー,0
6,#1A4472,26,68,114,Milori blue,0
7,#1A4472,26,68,114,紺青,0
8,#0F5474,15,84,116,藍色,0
9,#0F5474,15,84,116,インディゴ,0
10,#5E7C85,94,124,133,藍鼠,0
11,#5E7C85,94,124,133,藍気鼠,0
12,#475189,71,81,137,藍錆色,0
13,#CCE7D3,204,231,211,アイスグリーン,0
14,#CCE7D3,204,231,211,ice green,0
15,#243250,36,50,80,藍鉄色,0
16,#487C38,72,124,56,アイビーグリーン,0
17,#487C38,72,124,56,ivy green,0
18,#F3ECD8,243,236,216,象牙色,0
19,#F3ECD8,243,236,216,アイボリー,0
20,#333132,51,49,50,墨墨色,0
21,#5C5D31,92,93,49,藍海松茶,0
22,#547443,84,116,67,利休藍,0
23,#547443,84,116,67,藍利休,0
24,#0067C0,0,103,192,青,36
25,#0067C0,0,103,192,蒼,0
26,#0067C0,0,103,192,藍,0
27,#0067C0,0,103,192,碧,0
28,#0067C0,0,103,192,ブルー,35
29,#23274F,35,39,79,青褐,0
30,#F4E511,244,229,17,青黄,0
31,#83866C,131,134,108,山鳩色,0
32,#83866C,131,134,108,麹塵,0
33,#283446,40,52,70,青墨,0
34,#72BAA7,114,186,167,青竹色,0
35,#798543,121,133,67,青丹,0
36,#52695D,82,105,93,青鈍,0
37,#00AE95,0,174,149,ブルーグリーン,0
38,#00AE95,0,174,149,blue green,0
39,#00AE95,0,174,149,青緑,0
40,#6F51A1,111,81,161,パープルブルー,0
41,#6F51A1,111,81,161,purple blue,0
42,#6F51A1,111,81,161,青紫,0
43,#6F51A1,111,81,161,バイオレット,0
44,#ED1A3D,237,26,61,赤,76
45,#ED1A3D,237,26,61,朱,0
46,#ED1A3D,237,26,61,緋,0
47,#ED1A3D,237,26,61,レッド,6
48,#FFC800,255,200,0,赤黄,0
49,#DC8551,220,133,81,赤朽葉,0
50,#FBBD8E,251,189,142,赤香,0
51,#84331F,132,51,31,赤錆色,0
52,#4C2E30,76,46,48,赤墨,0
53,#F15A22,241,90,34,赤橙,0
54,#F15A22,241,90,34,朱色,1
55,#B4533C,180,83,60,赤茶,0
56,#B22D35,178,45,53,茜色,0
57,#F067A6,240,103,166,レッドパープル,0
58,#F067A6,240,103,166,red purple,0
59,#F067A6,240,103,166,赤紫,0
60,#88bfbf,136,191,191,アクアグリーン,0
61,#88bfbf,136,191,191,aqua green,0
62,#88bfbf,136,191,191,ウォーターグリーン,0
63,#AFDFE4,175,223,228,水縹,0
64,#AFDFE4,175,223,228,水色,2
65,#006F86,0,111,134,藍緑色,0
66,#006F86,0,111,134,アクアマリン,0
67,#948562,148,133,98,灰汁色,0
68,#F9AA8F,249,170,143,東雲色,0
69,#F9AA8F,249,170,143,曙色,0
70,#FFCC33,255,204,51,浅黄,0
71,#FFCC33,255,204,51,浅黄色,0
72,#FFCC33,255,204,51,浅葱,0
73,#FFCC33,255,204,51,浅葱色,0
74,#00A4AC,0,164,172,浅葱,0
75,#00A4AC,0,164,172,浅葱色,0
76,#00A4AC,0,164,172,浅黄,0
77,#00A4AC,0,164,172,浅黄色,0
78,#67A7CC,103,167,204,浅縹,0
79,#DE7C6B,222,124,107,浅緋,0
80,#84C98B,132,201,139,浅緑,0
81,#CD4187,205,65,135,アザレア,0
82,#CD4187,205,65,135,azalea,0
83,#CD4187,205,65,135,躑躅色,0
84,#FF3399,255,51,153,アザレアピンク,0
85,#FF3399,255,51,153,azalea pink,0
86,#FF3399,255,51,153,躑躅色,0
87,#98514B,152,81,75,小豆色,1
88,#98514B,152,81,75,ラセットブラウン,0
89,#949593,148,149,147,アッシュグレイ,0
90,#949593,148,149,147,アッシュグレー,0
91,#949593,148,149,147,ash grey,0
92,#949593,148,149,147,灰色,0
93,#96C78C,150,199,140,アップルグリーン,0
94,#96C78C,150,199,140,apple green,0
95,#A99663,169,150,99,油色,0
96,#FAB280,250,178,128,アプリコット,0
97,#FAB280,250,178,128,apricot,0
98,#FAB280,250,178,128,杏色,0
99,#E8DABE,232,218,190,亜麻色,0
100,#E8DABE,232,218,190,エクルベージュ,0
101,#65BBE9,101,187,233,天色,0
102,#65BBE9,101,187,233,空色,1
103,#E5B36E,229,179,110,飴色,0
104,#9E76B4,158,118,180,アメシスト,0
105,#9E76B4,158,118,180,アメジスト,0
106,#9E76B4,158,118,180,amethyst,0
107,#C77EB5,199,126,181,菖蒲色,0
108,#FDD2B9,253,210,185,洗柿,0
109,#E27A5E,226,122,94,洗朱,0
110,#F0F8FF,240,248,255,アリスブルー,0
111,#F0F8FF,240,248,255,Alice blue,0
112,#7D415E,125,65,94,殷紅色,0
113,#7D415E,125,65,94,暗紅色,0
114,#00001C,0,0,28,暗黒色,0
115,#FAB27B,250,178,123,杏色,0
116,#FAB27B,250,178,123,杏子色,0
117,#FAB27B,250,178,123,アプリコット,0
118,#B97E54,185,126,84,アンバー,0
119,#B97E54,185,126,84,amber,0
120,#B97E54,185,126,84,琥珀色,0
121,#005133,0,81,51,暗緑色,0
122,#FFD800,255,216,0,ジョンブリアン,0
123,#FFD800,255,216,0,jaune brillant,0
124,#BB8B38,187,139,56,オーカー,0
125,#BB8B38,187,139,56,ocher,0
126,#BB8B38,187,139,56,黄土色,0
127,#B2D235,178,210,53,黄緑,0
128,#B2D235,178,210,53,イエローグリーン,0
129,#F36C21,243,108,33,黄赤,0
130,#F36C21,243,108,33,イエローレッド,0
131,#F36C21,243,108,33,オレンジ,22
132,#F1E266,241,226,102,サルファーイエロー,0
133,#F1E266,241,226,102,sulfur yellow,0
134,#F1E266,241,226,102,硫黄色,0
135,#BAB454,186,180,84,柳茶,0
136,#BAB454,186,180,84,威光茶,0
137,#B45460,180,84,96,苺色,0
138,#B45460,180,84,96,ストロベリー,1
